"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"51939_at"	"1.54e-09"	"2.82e-12"	"-7.52491"	"17.48679"	"-1.9103903"	""	""
"57194_at"	"1.59e-09"	"3.04e-12"	"-7.511405"	"17.4122"	"-1.0663831"	"PRICKLE2"	"prickle homolog 2 (Drosophila)"
"45269_at"	"1.87e-09"	"3.73e-12"	"-7.47599"	"17.21695"	"-1.6961325"	"RAB34"	"RAB34, member RAS oncogene family"
"45260_at"	"2.13e-09"	"4.42e-12"	"-7.446542"	"17.05493"	"-1.8124483"	"FAM107A"	"family with sequence similarity 107, member A"
"58013_at"	"2.56e-09"	"5.53e-12"	"7.407122"	"16.83855"	"1.0035429"	"LOC100131829"	"uncharacterized LOC100131829"
"43817_f_at"	"2.56e-09"	"5.71e-12"	"-7.401663"	"16.80864"	"-1.4769899"	"CLU"	"clusterin"
"53785_at"	"2.78e-09"	"6.41e-12"	"-7.381281"	"16.69703"	"-1.0809085"	"LIMS2"	"LIM and senescent cell antigen-like domains 2"
"47541_at"	"2.92e-09"	"6.97e-12"	"-7.36671"	"16.61734"	"-1.4261062"	"C8orf88"	"chromosome 8 open reading frame 88"
"43966_at"	"3.47e-09"	"8.56e-12"	"-7.330566"	"16.42"	"-1.4724045"	"MRVI1"	"murine retrovirus integration site 1 homolog"
"49438_at"	"4.67e-09"	"1.19e-11"	"-7.272394"	"16.10344"	"-1.2554792"	"CRISPLD2"	"cysteine-rich secretory protein LCCL domain containing 2"
"54033_at"	"6.64e-09"	"1.74e-11"	"-7.20477"	"15.73708"	"-1.5258108"	"PARM1"	"prostate androgen-regulated mucin-like protein 1"
"52946_at"	"6.83e-09"	"1.86e-11"	"-7.193606"	"15.67677"	"-1.966897"	"MRGPRF"	"MAS-related GPR, member F"
"52855_at"	"6.83e-09"	"1.90e-11"	"7.189342"	"15.65374"	"1.5160369"	"HIST3H2A"	"histone cluster 3, H2a"
"43506_at"	"7.07e-09"	"2.03e-11"	"-7.178174"	"15.59348"	"-1.4980637"	"OGN"	"osteoglycin"
"50300_g_at"	"8.06e-09"	"2.38e-11"	"-7.149822"	"15.44071"	"-1.5127334"	"FHOD3"	"formin homology 2 domain containing 3"
"43120_at"	"8.70e-09"	"2.63e-11"	"7.131535"	"15.34234"	"0.8187887"	"KMT2C"	"lysine (K)-specific methyltransferase 2C"
"46476_at"	"9.89e-09"	"3.07e-11"	"-7.104094"	"15.19499"	"-1.3598261"	"RBFOX3"	"RNA binding protein, fox-1 homolog (C. elegans) 3"
"54668_at"	"1.02e-08"	"3.24e-11"	"-7.094638"	"15.14428"	"-1.3234884"	"PDE5A"	"phosphodiesterase 5A, cGMP-specific"
"45217_at"	"1.63e-08"	"5.31e-11"	"-7.006008"	"14.67077"	"-1.2535725"	"PDGFC"	"platelet derived growth factor C"
"55293_at"	"1.75e-08"	"5.86e-11"	"6.988272"	"14.5764"	"0.918872"	""	""
"56126_at"	"1.91e-08"	"6.54e-11"	"-6.96839"	"14.47077"	"-1.730176"	"RPRM"	"reprimo, TP53 dependent G2 arrest mediator candidate"
"49502_i_at"	"1.94e-08"	"7.06e-11"	"-6.954564"	"14.39741"	"-1.6918885"	"MCC"	"mutated in colorectal cancers"
"45199_at"	"1.94e-08"	"7.21e-11"	"-6.950826"	"14.37759"	"-1.0864205"	"DDR2"	"discoidin domain receptor tyrosine kinase 2"
"50658_s_at"	"1.94e-08"	"7.36e-11"	"-6.946965"	"14.35712"	"-1.351099"	"EVA1C"	"eva-1 homolog C (C. elegans)"
"47481_at"	"1.94e-08"	"7.41e-11"	"-6.94588"	"14.35138"	"-1.9229618"	"ANGPTL1"	"angiopoietin-like 1"
"43102_g_at"	"1.94e-08"	"7.43e-11"	"6.945341"	"14.34852"	"1.0649948"	"VPS13B"	"vacuolar protein sorting 13 homolog B (yeast)"
"45179_at"	"2.11e-08"	"8.24e-11"	"-6.926517"	"14.24884"	"-1.3405498"	"ITIH5"	"inter-alpha-trypsin inhibitor heavy chain family, member 5"
"56192_at"	"2.69e-08"	"1.07e-10"	"-6.879016"	"13.99798"	"-1.0811988"	"PCDH7"	"protocadherin 7"
"53011_at"	"2.70e-08"	"1.10e-10"	"-6.874973"	"13.97667"	"-1.2056557"	"GCOM1"	"GRINL1A complex locus 1"
"53793_at"	"3.05e-08"	"1.26e-10"	"-6.848867"	"13.83926"	"-0.9577472"	"TGFBR3"	"transforming growth factor, beta receptor III"
"44806_at"	"3.05e-08"	"1.30e-10"	"6.844189"	"13.81467"	"1.0342625"	"PABPC1"	"poly(A) binding protein, cytoplasmic 1"
"45357_s_at"	"3.05e-08"	"1.31e-10"	"6.841977"	"13.80304"	"0.7523926"	"C12orf45"	"chromosome 12 open reading frame 45"
"51842_at"	"4.00e-08"	"1.75e-10"	"6.789082"	"13.52567"	"0.9682429"	"CBX4"	"chromobox homolog 4"
"52119_at"	"5.09e-08"	"2.27e-10"	"6.741875"	"13.27915"	"1.3028398"	"RAB17"	"RAB17, member RAS oncogene family"
"45789_f_at"	"5.51e-08"	"2.50e-10"	"6.723928"	"13.18569"	"0.679888"	"MGAT4B"	"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B"
"58617_at"	"5.59e-08"	"2.58e-10"	"-6.718011"	"13.15491"	"-1.1164784"	"ANTXR2"	"anthrax toxin receptor 2"
"44004_at"	"5.78e-08"	"2.72e-10"	"-6.708848"	"13.10727"	"-0.9072359"	"TBC1D1"	"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1"
"44088_at"	"6.38e-08"	"3.05e-10"	"-6.687575"	"12.99681"	"-0.7813963"	"MYADM"	"myeloid-associated differentiation marker"
"52641_at"	"6.78e-08"	"3.35e-10"	"6.670427"	"12.90792"	"1.4363002"	"GPR160"	"G protein-coupled receptor 160"
"43112_at"	"6.78e-08"	"3.35e-10"	"6.670303"	"12.90728"	"0.826991"	"EIF3B"	"eukaryotic translation initiation factor 3, subunit B"
"52890_at"	"7.34e-08"	"3.68e-10"	"6.652624"	"12.81578"	"0.6065181"	"SLC25A22"	"solute carrier family 25 (mitochondrial carrier: glutamate), member 22"
"59396_at"	"8.11e-08"	"4.14e-10"	"6.63112"	"12.70466"	"0.9017785"	""	""
"45340_at"	"8.52e-08"	"4.41e-10"	"-6.6193"	"12.64368"	"-0.8646724"	"ANO6"	"anoctamin 6"
"46568_at"	"9.34e-08"	"4.91e-10"	"6.599361"	"12.54094"	"1.2898545"	"FAM117B"	"family with sequence similarity 117, member B"
"43395_s_at"	"9.76e-08"	"5.21e-10"	"-6.588336"	"12.48422"	"-1.1184254"	"DNAJB5"	"DnaJ (Hsp40) homolog, subfamily B, member 5"
"45896_at"	"1.06e-07"	"5.75e-10"	"6.570042"	"12.39021"	"1.0871862"	""	""
"54063_at"	"1.21e-07"	"6.63e-10"	"-6.543534"	"12.25428"	"-1.0705884"	"CDC42EP3"	"CDC42 effector protein (Rho GTPase binding) 3"
"42571_at"	"1.30e-07"	"7.22e-10"	"6.527423"	"12.17181"	"1.0313053"	""	""
"52186_at"	"1.42e-07"	"8.03e-10"	"-6.507508"	"12.07005"	"-1.1824874"	"FAM129A"	"family with sequence similarity 129, member A"
"44761_at"	"1.60e-07"	"9.16e-10"	"6.482867"	"11.94439"	"0.9903284"	""	""
"46016_at"	"1.63e-07"	"9.50e-10"	"6.476002"	"11.90943"	"1.1196983"	""	""
"47585_at"	"1.64e-07"	"9.77e-10"	"6.470826"	"11.88309"	"1.0906079"	""	""
"44106_at"	"1.64e-07"	"9.78e-10"	"-6.470547"	"11.88167"	"-0.9853885"	"SHISA4"	"shisa family member 4"
"43554_at"	"1.67e-07"	"1.01e-09"	"-6.464597"	"11.8514"	"-1.3781928"	"CACHD1"	"cache domain containing 1"
"45829_at"	"1.68e-07"	"1.04e-09"	"-6.459129"	"11.8236"	"-1.0508056"	"NCS1"	"neuronal calcium sensor 1"
"45320_at"	"1.68e-07"	"1.05e-09"	"-6.457783"	"11.81676"	"-1.3930256"	"DPH3"	"diphthamide biosynthesis 3"
"43585_at"	"1.92e-07"	"1.21e-09"	"6.430307"	"11.67731"	"1.5906595"	""	""
"45515_s_at"	"1.94e-07"	"1.23e-09"	"-6.426934"	"11.66021"	"-0.8044592"	"MSRA"	"methionine sulfoxide reductase A"
"45680_at"	"2.08e-07"	"1.35e-09"	"-6.410551"	"11.57725"	"-0.9017426"	"TSHZ3"	"teashirt zinc finger homeobox 3"
"57491_at"	"2.09e-07"	"1.37e-09"	"-6.407388"	"11.56125"	"-0.8269826"	"PTPLA"	"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A"
"44892_at"	"2.29e-07"	"1.52e-09"	"6.387825"	"11.46239"	"1.1120318"	""	""
"46183_at"	"2.41e-07"	"1.61e-09"	"-6.376113"	"11.40329"	"-1.1657214"	""	""
"42646_at"	"2.57e-07"	"1.74e-09"	"6.361634"	"11.33032"	"1.5714911"	""	""
"46273_at"	"2.59e-07"	"1.77e-09"	"6.358372"	"11.31389"	"0.6258022"	"RPL36"	"ribosomal protein L36"
"45793_at"	"2.90e-07"	"2.01e-09"	"-6.334299"	"11.19283"	"-0.651715"	"RBFOX2"	"RNA binding protein, fox-1 homolog (C. elegans) 2"
"50617_s_at"	"2.93e-07"	"2.07e-09"	"-6.328866"	"11.16555"	"-1.0341408"	"RNF180"	"ring finger protein 180"
"56456_at"	"2.93e-07"	"2.08e-09"	"-6.328083"	"11.16162"	"-0.6747623"	"TP53INP2"	"tumor protein p53 inducible nuclear protein 2"
"43014_at"	"3.09e-07"	"2.22e-09"	"6.315653"	"11.09926"	"1.4630005"	"SDCCAG3"	"serologically defined colon cancer antigen 3"
"54865_at"	"3.46e-07"	"2.51e-09"	"-6.292423"	"10.98291"	"-0.7719486"	"CORO1C"	"coronin, actin binding protein, 1C"
"53550_at"	"3.55e-07"	"2.60e-09"	"-6.285372"	"10.94765"	"-1.1193434"	""	""
"50391_at"	"3.63e-07"	"2.73e-09"	"6.276187"	"10.90176"	"1.0143755"	"ESRP1"	"epithelial splicing regulatory protein 1"
"48927_at"	"3.63e-07"	"2.73e-09"	"-6.275806"	"10.89985"	"-1.612614"	""	""
"43230_at"	"3.63e-07"	"2.75e-09"	"6.2747"	"10.89433"	"1.5616444"	"FAM198B"	"family with sequence similarity 198, member B"
"56056_at"	"3.71e-07"	"2.86e-09"	"6.267292"	"10.85735"	"0.7137133"	""	""
"47928_at"	"3.71e-07"	"2.87e-09"	"-6.266686"	"10.85432"	"-1.1950064"	"SLMAP"	"sarcolemma associated protein"
"45478_at"	"3.87e-07"	"3.05e-09"	"-6.254936"	"10.79572"	"-1.0216868"	"SYNPO2"	"synaptopodin 2"
"50001_at"	"3.87e-07"	"3.05e-09"	"-6.254918"	"10.79564"	"-1.3045018"	"CPED1"	"cadherin-like and PC-esterase domain containing 1"
"57718_at"	"3.89e-07"	"3.10e-09"	"-6.251917"	"10.78068"	"-0.9236458"	"ANTXR1"	"anthrax toxin receptor 1"
"44596_at"	"3.92e-07"	"3.16e-09"	"-6.248248"	"10.7624"	"-0.8997566"	"TWIST2"	"twist family bHLH transcription factor 2"
"46274_at"	"4.01e-07"	"3.26e-09"	"6.241932"	"10.73095"	"1.2118868"	"MAL2"	"mal, T-cell differentiation protein 2 (gene/pseudogene)"
"45676_at"	"4.01e-07"	"3.29e-09"	"6.24006"	"10.72163"	"1.3022184"	"CENPM"	"centromere protein M"
"42265_f_at"	"4.24e-07"	"3.51e-09"	"6.22782"	"10.66075"	"0.6425446"	""	""
"45356_g_at"	"4.46e-07"	"3.73e-09"	"6.216196"	"10.60301"	"0.5900696"	"ULK3"	"unc-51 like kinase 3"
"59350_at"	"4.48e-07"	"3.78e-09"	"6.213412"	"10.58918"	"0.9455266"	""	""
"51714_at"	"5.29e-07"	"4.51e-09"	"-6.179604"	"10.42166"	"-1.078358"	"ANTXR2"	"anthrax toxin receptor 2"
"55077_at"	"5.46e-07"	"4.69e-09"	"-6.171862"	"10.38338"	"-0.6462099"	"MIR143HG"	"MIR143 host gene (non-protein coding)"
"43456_at"	"5.82e-07"	"5.06e-09"	"-6.157553"	"10.3127"	"-0.9584807"	"STK26"	"serine/threonine protein kinase 26"
"52166_at"	"6.09e-07"	"5.34e-09"	"-6.146993"	"10.26061"	"-1.318035"	""	""
"45574_g_at"	"6.12e-07"	"5.45e-09"	"6.143043"	"10.24114"	"1.3037086"	"TPX2"	"TPX2, microtubule-associated"
"59002_at"	"6.12e-07"	"5.46e-09"	"-6.142723"	"10.23956"	"-1.2095439"	"ASB2"	"ankyrin repeat and SOCS box containing 2"
"42350_r_at"	"6.34e-07"	"5.70e-09"	"6.134215"	"10.19765"	"0.8344301"	""	""
"52999_at"	"6.81e-07"	"6.18e-09"	"-6.118608"	"10.12087"	"-1.0535889"	"BOC"	"BOC cell adhesion associated, oncogene regulated"
"47445_at"	"6.97e-07"	"6.39e-09"	"6.112281"	"10.08977"	"0.7158915"	"COX19"	"cytochrome c oxidase assembly homolog 19 (S. cerevisiae)"
"53796_at"	"7.39e-07"	"6.82e-09"	"-6.09935"	"10.02629"	"-1.6796999"	"KCNMA1"	"potassium large conductance calcium-activated channel, subfamily M, alpha member 1"
"58917_at"	"7.54e-07"	"7.03e-09"	"-6.093674"	"9.99845"	"-1.1355861"	"DACT3"	"dishevelled-binding antagonist of beta-catenin 3"
"54445_at"	"8.47e-07"	"7.98e-09"	"-6.06877"	"9.8765"	"-1.0133393"	"FAM46B"	"family with sequence similarity 46, member B"
"55832_at"	"8.47e-07"	"8.03e-09"	"-6.067718"	"9.87135"	"-0.9408637"	"SYNPO2"	"synaptopodin 2"
"46410_at"	"8.50e-07"	"8.12e-09"	"-6.065467"	"9.86035"	"-0.8122013"	"RAB9B"	"RAB9B, member RAS oncogene family"
"45566_at"	"8.77e-07"	"8.45e-09"	"-6.057678"	"9.82228"	"-0.6867545"	"ENAH"	"enabled homolog (Drosophila)"
"52036_at"	"8.85e-07"	"8.60e-09"	"-6.054217"	"9.80538"	"-0.8559153"	"MYOCD"	"myocardin"
"43507_g_at"	"9.23e-07"	"9.06e-09"	"-6.044035"	"9.75569"	"-1.2584596"	"OGN"	"osteoglycin"
"56122_at"	"9.23e-07"	"9.12e-09"	"6.042906"	"9.75018"	"1.3171094"	"AGR3"	"anterior gradient 3"
"48032_at"	"9.66e-07"	"9.62e-09"	"-6.032349"	"9.69872"	"-1.0249186"	"TCF7L1"	"transcription factor 7-like 1 (T-cell specific, HMG-box)"
"48424_at"	"1.09e-06"	"1.09e-08"	"6.007676"	"9.57868"	"0.9534287"	""	""
"45433_at"	"1.10e-06"	"1.11e-08"	"6.004107"	"9.56134"	"0.95867"	"WWC1"	"WW and C2 domain containing 1"
"45513_at"	"1.12e-06"	"1.14e-08"	"5.999101"	"9.53704"	"0.9434418"	"DAZAP1"	"DAZ associated protein 1"
"52558_s_at"	"1.13e-06"	"1.16e-08"	"5.994963"	"9.51695"	"1.0892464"	"DAZAP1"	"DAZ associated protein 1"
"56291_at"	"1.28e-06"	"1.32e-08"	"-5.969921"	"9.39561"	"-0.685461"	"CYB5R2"	"cytochrome b5 reductase 2"
"44710_at"	"1.41e-06"	"1.47e-08"	"-5.949092"	"9.29493"	"-0.8761933"	"ITGA1"	"integrin, alpha 1"
"56541_at"	"1.42e-06"	"1.50e-08"	"-5.94563"	"9.27822"	"-0.8764348"	"BDH2"	"3-hydroxybutyrate dehydrogenase, type 2"
"43484_at"	"1.49e-06"	"1.58e-08"	"-5.934309"	"9.22361"	"-1.1099504"	"SCN7A"	"sodium channel, voltage-gated, type VII, alpha subunit"
"53420_at"	"1.57e-06"	"1.68e-08"	"5.922724"	"9.1678"	"1.0428664"	""	""
"44598_at"	"1.59e-06"	"1.72e-08"	"-5.918514"	"9.14754"	"-0.7720366"	"PGR"	"progesterone receptor"
"46369_at"	"1.66e-06"	"1.80e-08"	"-5.908729"	"9.10048"	"-1.3442131"	"GATA5"	"GATA binding protein 5"
"45229_at"	"1.66e-06"	"1.82e-08"	"-5.907251"	"9.09338"	"-0.6474439"	"GJC1"	"gap junction protein, gamma 1, 45kDa"
"44748_at"	"1.70e-06"	"1.86e-08"	"-5.902087"	"9.06857"	"-0.7349648"	"PLEKHO1"	"pleckstrin homology domain containing, family O member 1"
"49256_at"	"1.76e-06"	"1.95e-08"	"5.893225"	"9.02602"	"0.7225879"	"LOC100288163"	"similar to peptidylprolyl isomerase A"
"43435_at"	"1.77e-06"	"1.97e-08"	"5.890722"	"9.01401"	"0.9985799"	"AR"	"androgen receptor"
"50411_at"	"1.83e-06"	"2.06e-08"	"-5.882614"	"8.97513"	"-0.8850371"	"SORBS2"	"sorbin and SH3 domain containing 2"
"54918_at"	"1.93e-06"	"2.19e-08"	"-5.870401"	"8.91664"	"-1.1614999"	"TRO"	"trophinin"
"53198_at"	"1.98e-06"	"2.26e-08"	"-5.863738"	"8.88476"	"-0.7103612"	"MITF"	"microphthalmia-associated transcription factor"
"55411_at"	"2.01e-06"	"2.31e-08"	"5.859479"	"8.86439"	"0.7528372"	""	""
"47598_at"	"2.01e-06"	"2.33e-08"	"5.857876"	"8.85673"	"1.1357571"	"GPR160"	"G protein-coupled receptor 160"
"53766_at"	"2.07e-06"	"2.41e-08"	"-5.850943"	"8.82361"	"-1.489813"	"PER3"	"period circadian clock 3"
"51580_at"	"2.15e-06"	"2.52e-08"	"5.842269"	"8.7822"	"1.0464052"	""	""
"47402_at"	"2.16e-06"	"2.55e-08"	"-5.839469"	"8.76884"	"-1.1988369"	"CHRDL2"	"chordin-like 2"
"57067_at"	"2.23e-06"	"2.65e-08"	"-5.83188"	"8.73266"	"-0.6303813"	"MAP7D1"	"MAP7 domain containing 1"
"46683_at"	"2.27e-06"	"2.72e-08"	"5.827057"	"8.70968"	"0.97977"	"KIF20A"	"kinesin family member 20A"
"53706_at"	"2.34e-06"	"2.81e-08"	"-5.820152"	"8.67681"	"-0.8906035"	"C20orf194"	"chromosome 20 open reading frame 194"
"46318_at"	"2.39e-06"	"2.89e-08"	"-5.814494"	"8.64989"	"-1.0548974"	"PARP6"	"poly (ADP-ribose) polymerase family, member 6"
"56272_at"	"2.41e-06"	"2.95e-08"	"-5.810193"	"8.62944"	"-0.7899745"	"APCDD1"	"adenomatosis polyposis coli down-regulated 1"
"54020_at"	"2.41e-06"	"2.96e-08"	"-5.809705"	"8.62712"	"-0.6345633"	"VEZF1"	"vascular endothelial zinc finger 1"
"56471_at"	"2.41e-06"	"2.98e-08"	"-5.808656"	"8.62213"	"-0.6629528"	"ITM2C"	"integral membrane protein 2C"
"45777_at"	"2.45e-06"	"3.05e-08"	"-5.804061"	"8.60029"	"-0.6242907"	"TEAD1"	"TEA domain family member 1 (SV40 transcriptional enhancer factor)"
"55722_at"	"2.48e-06"	"3.11e-08"	"-5.800114"	"8.58155"	"-1.2293888"	"MIR100HG"	"mir-100-let-7a-2 cluster host gene (non-protein coding)"
"52080_at"	"2.57e-06"	"3.24e-08"	"-5.791884"	"8.54249"	"-1.4174992"	"C2orf40"	"chromosome 2 open reading frame 40"
"49797_at"	"2.62e-06"	"3.33e-08"	"-5.786202"	"8.51554"	"-1.01758"	"KCNJ8"	"potassium inwardly-rectifying channel, subfamily J, member 8"
"49024_at"	"2.62e-06"	"3.35e-08"	"5.785293"	"8.51123"	"0.6944114"	"H2AFY"	"H2A histone family, member Y"
"44699_at"	"2.63e-06"	"3.37e-08"	"-5.783948"	"8.50486"	"-0.5126464"	"CAMTA1"	"calmodulin binding transcription activator 1"
"43589_at"	"2.74e-06"	"3.53e-08"	"5.77441"	"8.45968"	"0.5942063"	"PAXIP1-AS1"	"PAXIP1 antisense RNA 1 (head to head)"
"52652_g_at"	"2.74e-06"	"3.55e-08"	"-5.77317"	"8.45381"	"-1.5396444"	"COL8A2"	"collagen, type VIII, alpha 2"
"46877_at"	"2.75e-06"	"3.59e-08"	"-5.770951"	"8.4433"	"-0.9722165"	"LOC202025"	"uncharacterized LOC202025"
"43827_s_at"	"2.82e-06"	"3.71e-08"	"-5.764686"	"8.41366"	"-0.8091204"	"LDHB"	"lactate dehydrogenase B"
"45091_at"	"2.91e-06"	"3.84e-08"	"5.757453"	"8.37948"	"0.6106326"	"SLC25A26"	"solute carrier family 25 (S-adenosylmethionine carrier), member 26"
"57319_at"	"3.07e-06"	"4.08e-08"	"5.74534"	"8.32228"	"0.617067"	""	""
"51428_at"	"3.18e-06"	"4.26e-08"	"5.736779"	"8.28191"	"1.2316165"	"CDC26"	"cell division cycle 26"
"52853_g_at"	"3.61e-06"	"4.87e-08"	"5.709702"	"8.15448"	"1.192375"	"AR"	"androgen receptor"
"48386_at"	"3.68e-06"	"4.98e-08"	"5.705123"	"8.13296"	"0.9327426"	"LINC00662"	"long intergenic non-protein coding RNA 662"
"55226_at"	"3.69e-06"	"5.03e-08"	"5.703012"	"8.12305"	"1.0858171"	"TRIM36"	"tripartite motif containing 36"
"56429_g_at"	"3.70e-06"	"5.08e-08"	"5.701204"	"8.11456"	"0.7497187"	"HN1"	"hematological and neurological expressed 1"
"48449_i_at"	"4.01e-06"	"5.52e-08"	"5.684113"	"8.03442"	"0.6642521"	"PGAM5"	"phosphoglycerate mutase family member 5"
"55668_at"	"4.14e-06"	"5.74e-08"	"-5.676262"	"7.99766"	"-0.867556"	"PTPN14"	"protein tyrosine phosphatase, non-receptor type 14"
"46951_at"	"4.15e-06"	"5.78e-08"	"5.674748"	"7.99057"	"0.8936661"	""	""
"49718_at"	"4.22e-06"	"5.92e-08"	"5.669826"	"7.96755"	"1.4841741"	""	""
"53644_at"	"4.24e-06"	"5.97e-08"	"-5.668069"	"7.95933"	"-1.3163081"	"SLC18A2"	"solute carrier family 18 (vesicular monoamine transporter), member 2"
"48101_at"	"4.39e-06"	"6.22e-08"	"5.659902"	"7.92116"	"1.3489314"	"MEX3A"	"mex-3 RNA binding family member A"
"51586_at"	"4.45e-06"	"6.34e-08"	"5.655857"	"7.90228"	"1.0478885"	""	""
"55105_at"	"4.50e-06"	"6.46e-08"	"-5.652317"	"7.88575"	"-0.5957069"	"NFIA"	"nuclear factor I/A"
"44436_at"	"4.55e-06"	"6.56e-08"	"5.649066"	"7.87058"	"0.9816388"	""	""
"57673_at"	"4.63e-06"	"6.71e-08"	"5.644277"	"7.84824"	"0.8248796"	"ARHGEF26"	"Rho guanine nucleotide exchange factor (GEF) 26"
"57588_at"	"4.68e-06"	"6.82e-08"	"-5.640956"	"7.83276"	"-0.8627985"	"SLC24A3"	"solute carrier family 24 (sodium/potassium/calcium exchanger), member 3"
"43669_at"	"4.74e-06"	"6.94e-08"	"5.637413"	"7.81626"	"0.5361636"	"GAPDHP62"	"glyceraldehyde 3 phosphate dehydrogenase pseudogene 62"
"42734_r_at"	"4.78e-06"	"7.06e-08"	"5.63396"	"7.80017"	"1.2233074"	""	""
"54067_at"	"4.78e-06"	"7.09e-08"	"5.633242"	"7.79683"	"0.6791626"	"FAM83H"	"family with sequence similarity 83, member H"
"47343_at"	"4.86e-06"	"7.24e-08"	"5.628854"	"7.77641"	"0.5707885"	""	""
"57769_at"	"4.98e-06"	"7.46e-08"	"5.622657"	"7.74758"	"1.3575235"	"ANKRD37"	"ankyrin repeat domain 37"
"46694_at"	"5.21e-06"	"7.84e-08"	"-5.612607"	"7.70087"	"-0.9210106"	"OLFML3"	"olfactomedin-like 3"
"49130_at"	"5.90e-06"	"8.93e-08"	"-5.585976"	"7.57739"	"-1.2216193"	"NUDT10"	"nudix (nucleoside diphosphate linked moiety X)-type motif 10"
"42639_at"	"6.25e-06"	"9.50e-08"	"5.573117"	"7.5179"	"0.853312"	""	""
"42913_f_at"	"6.72e-06"	"1.03e-07"	"-5.557036"	"7.44365"	"-1.0957303"	"PLIN4"	"perilipin 4"
"45171_at"	"7.31e-06"	"1.12e-07"	"5.538697"	"7.35915"	"1.0594133"	"PCDHB2"	"protocadherin beta 2"
"46307_at"	"7.41e-06"	"1.14e-07"	"-5.534814"	"7.34128"	"-0.7399022"	"TM9SF3"	"transmembrane 9 superfamily member 3"
"58620_at"	"7.43e-06"	"1.16e-07"	"-5.531666"	"7.3268"	"-0.6595351"	"FOXN3"	"forkhead box N3"
"52856_at"	"7.43e-06"	"1.16e-07"	"-5.531347"	"7.32534"	"-0.5865668"	"FAM13B"	"family with sequence similarity 13, member B"
